NameCompany,NameConsole,NameGame,Metascore,Userscore,Fecha
Microsoft,XONE,Red Dead Redemption 2,98,5.9,2018-10-26 00:00:00.0
Microsoft,XONE,Grand Theft Auto V,97,7.8,2014-11-18 00:00:00.0
Microsoft,XONE,Metal Gear Solid V: The Phantom Pain,95,7.4,2015-09-01 00:00:00.0
Microsoft,XONE,Celeste,94,6.4,2018-01-26 00:00:00.0
Microsoft,XONE,Divinity: Original Sin II - Definitive Edition,93,7.5,2018-08-31 00:00:00.0
Microsoft,XONE,INSIDE,93,8.2,2016-06-29 00:00:00.0
Microsoft,XONE,Forza Horizon 4,92,7.7,2018-09-28 00:00:00.0
Microsoft,XONE,What Remains of Edith Finch,92,7.4,2017-07-19 00:00:00.0
Microsoft,XONE,Forza Horizon 3,91,8.0,2016-09-23 00:00:00.0
Microsoft,XONE,Overwatch,91,5.8,2016-05-23 00:00:00.0
Microsoft,XBOX,Halo: Combat Evolved,97,8.6,2001-11-14 00:00:00.0
Microsoft,XBOX,Grand Theft Auto Double Pack,96,8.0,2003-10-31 00:00:00.0
Microsoft,XBOX,Halo 2,95,8.2,2004-11-09 00:00:00.0
Microsoft,XBOX,Tom Clancy's Splinter Cell Chaos Theory,94,8.9,2005-03-28 00:00:00.0
Microsoft,XBOX,Burnout 3: Takedown,94,7.4,2004-09-07 00:00:00.0
Microsoft,XBOX,Ninja Gaiden Black,94,8.7,2005-09-20 00:00:00.0
Microsoft,XBOX,Star Wars: Knights of the Old Republic,94,9.0,2003-07-17 00:00:00.0
Microsoft,XBOX,Tom Clancy's Splinter Cell,93,8.6,2002-11-17 00:00:00.0
Microsoft,XBOX,Tony Hawk's Pro Skater 3,93,7.9,2002-03-04 00:00:00.0
Microsoft,XBOX,Tom Clancy's Splinter Cell Pandora Tomorrow,93,8.6,2004-03-23 00:00:00.0
Microsoft,X360,Grand Theft Auto IV,98,7.9,2008-04-29 00:00:00.0
Microsoft,X360,Grand Theft Auto V,97,8.3,2013-09-17 00:00:00.0
Microsoft,X360,The Elder Scrolls V: Skyrim,96,8.5,2011-11-11 00:00:00.0
Microsoft,X360,BioShock,96,8.9,2007-08-21 00:00:00.0
Microsoft,X360,Mass Effect 2,96,8.9,2010-01-26 00:00:00.0
Microsoft,X360,The Orange Box,96,8.8,2007-10-10 00:00:00.0
Microsoft,X360,Red Dead Redemption,95,9.0,2010-05-18 00:00:00.0
Microsoft,X360,Portal 2,95,8.7,2011-04-19 00:00:00.0
Microsoft,X360,Call of Duty: Modern Warfare 2,94,6.4,2009-11-10 00:00:00.0
Microsoft,X360,Call of Duty 4: Modern Warfare,94,8.5,2007-11-05 00:00:00.0
Nintendo,WIIU,The Legend of Zelda: Breath of the Wild,96,8.2,2017-03-03 00:00:00.0
Nintendo,WIIU,Super Mario 3D World,93,8.9,2013-11-22 00:00:00.0
Nintendo,WIIU,Rayman Legends,92,8.7,2013-09-03 00:00:00.0
Nintendo,WIIU,Super Smash Bros. for Wii U,92,9.0,2014-11-21 00:00:00.0
Nintendo,WIIU,Bayonetta 2,91,9.0,2014-09-20 00:00:00.0
Nintendo,WIIU,The Legend of Zelda: The Wind Waker HD,90,8.9,2013-09-20 00:00:00.0
Nintendo,WIIU,Mario Kart 8 DLC Pack 2,90,8.9,2015-04-23 00:00:00.0
Nintendo,WIIU,Guacamelee! Super Turbo Championship Edition,90,7.6,2014-07-02 00:00:00.0
Nintendo,WIIU,Axiom Verge,89,8.6,2016-09-01 00:00:00.0
