Metascore,NameGame,NameConsole,Userscore,NameCompany,Fecha
97,Grand Theft Auto V,PS3,8.3,Sony,2013-09-17 00:00:00.0
97,Halo: Combat Evolved,XBOX,8.6,Microsoft,2001-11-14 00:00:00.0
97,Tony Hawk's Pro Skater 3,PS2,7.5,Sony,2001-10-28 00:00:00.0
97,Grand Theft Auto V,X360,8.3,Microsoft,2013-09-17 00:00:00.0
95,Tony Hawk's Pro Skater 2,GBA,7.1,Nintendo,2001-05-30 00:00:00.0
94,BioShock Infinite,PC,8.6,PC,2013-03-25 00:00:00.0
93,The Legend of Zelda: Skyward Sword,WII,8.1,Nintendo,2011-11-20 00:00:00.0
93,Undertale,Switch,8.1,Nintendo,2018-09-18 00:00:00.0
93,Paper Mario,N64,9.1,Nintendo,2001-02-05 00:00:00.0
93,NBA 2K2,DC,7.3,Sega,2001-10-24 00:00:00.0
93,Super Mario 3D World,WIIU,8.9,Nintendo,2013-11-22 00:00:00.0
92,Super Smash Bros. Melee,GC,9.1,Nintendo,2001-12-02 00:00:00.0
92,Fire Emblem: Awakening,3DS,9.1,Nintendo,2013-02-04 00:00:00.0
91,flower,PS4,7.2,Sony,2013-11-15 00:00:00.0
90,Dance Dance Revolution,PS,8.8,Sony,2001-05-09 00:00:00.0
88,Spelunky,VITA,7.9,Sony,2013-08-27 00:00:00.0
88,FIFA 14,XONE,5.8,Microsoft,2013-11-19 00:00:00.0
87,Tactics Ogre: Let Us Cling Together,PSP,8.8,Sony,2011-02-14 00:00:00.0
87,Pokemon White Version,DS,7.7,Nintendo,2011-03-06 00:00:00.0
97,Grand Theft Auto III,PS2,8.5,Sony,2001-10-22 00:00:00.0
95,The Last of Us,PS3,9.2,Sony,2013-06-14 00:00:00.0
93,Mario Kart Super Circuit,GBA,8.2,Nintendo,2001-08-26 00:00:00.0
93,BioShock Infinite,X360,8.5,Microsoft,2013-03-26 00:00:00.0
92,Rayman Origins,WII,8.5,Nintendo,2011-11-15 00:00:00.0
92,Conker's Bad Fur Day,N64,9.1,Nintendo,2001-03-04 00:00:00.0
92,Celeste,Switch,8.3,Nintendo,2018-01-25 00:00:00.0
92,Rayman Legends,WIIU,8.7,Nintendo,2013-09-03 00:00:00.0
91,Tony Hawk's Pro Skater 3,GC,8.8,Nintendo,2001-11-13 00:00:00.0
91,Fez,PC,6.7,PC,2013-05-01 00:00:00.0
91,The Legend of Zelda: A Link Between Worlds,3DS,9.0,Nintendo,2013-11-22 00:00:00.0
90,Madden NFL 2002,XBOX,8.4,Microsoft,2001-10-29 00:00:00.0
90,Tennis 2K2,DC,8.2,Sega,2001-10-24 00:00:00.0
89,Final Fantasy Chronicles,PS,9.4,Sony,2001-06-29 00:00:00.0
87,Guacamelee!,VITA,8.3,Sony,2013-04-09 00:00:00.0
87,FIFA 14,PS4,6.3,Sony,2013-11-12 00:00:00.0
87,Velocity,PSP,7.6,Sony,2012-05-01 00:00:00.0
87,Pokemon Black Version,DS,7.6,Nintendo,2011-03-06 00:00:00.0
86,NBA 2K14,XONE,5.7,Microsoft,2013-11-12 00:00:00.0
97,Grand Theft Auto V,PS4,8.3,Sony,2014-11-18 00:00:00.0
97,Grand Theft Auto V,XONE,7.8,Microsoft,2014-11-18 00:00:00.0
96,Metal Gear Solid 2: Sons of Liberty,PS2,8.8,Sony,2001-11-12 00:00:00.0
94,BioShock Infinite,PS3,8.5,Sony,2013-03-26 00:00:00.0
92,Advance Wars,GBA,9.0,Nintendo,2001-09-09 00:00:00.0
92,Bayonetta 2,Switch,8.4,Nintendo,2018-02-16 00:00:00.0
92,Xenoblade Chronicles,WII,9.2,Nintendo,2012-04-06 00:00:00.0
90,Spelunky,PC,7.3,PC,2013-08-08 00:00:00.0
90,The Legend of Zelda: The Wind Waker HD,WIIU,8.9,Nintendo,2013-09-20 00:00:00.0
90,Rayman Legends,X360,8.2,Microsoft,2013-09-03 00:00:00.0
90,Unreal Tournament,DC,8.8,Sega,2001-03-13 00:00:00.0
90,Star Wars Rogue Leader: Rogue Squadron II,GC,8.5,Nintendo,2001-11-09 00:00:00.0
