NameCompany,NameConsole,NameGame,Metascore,Userscore,Fecha
Microsoft,XONE,Fighter Within,23,2.8,2013-11-19 00:00:00.0
Microsoft,XONE,Soda Drinker Pro,30,5.9,2016-04-14 00:00:00.0
Microsoft,XONE,Ghostbusters,32,0.4,2016-07-12 00:00:00.0
Microsoft,XONE,Gene Rain,32,4.5,2018-07-31 00:00:00.0
Microsoft,XONE,Giana Sisters: Dream Runners,32,4.7,2015-08-19 00:00:00.0
Microsoft,XONE,Past Cure,34,6.7,2018-02-23 00:00:00.0
Microsoft,XONE,Agony,34,4.4,2018-05-29 00:00:00.0
Microsoft,XONE,7 Days to Die,35,5.4,2016-06-28 00:00:00.0
Microsoft,XONE,NBA Live 14,36,3.1,2013-11-19 00:00:00.0
Microsoft,XONE,Project Root,38,5.0,2015-04-29 00:00:00.0
Microsoft,XBOX,Drake of the 99 Dragons,22,1.8,2003-11-03 00:00:00.0
Microsoft,XBOX,Pulse Racer,24,2.8,2003-01-02 00:00:00.0
Microsoft,XBOX,Batman: Dark Tomorrow,25,3.4,2003-03-18 00:00:00.0
Microsoft,XBOX,Stake: Fortune Fighters,26,3.7,2003-05-06 00:00:00.0
Microsoft,XBOX,Aquaman: Battle for Atlantis,26,2.7,2003-07-30 00:00:00.0
Microsoft,XBOX,Sneakers,28,3.7,2002-10-22 00:00:00.0
Microsoft,XBOX,Crime Life: Gang Wars,30,4.4,2005-11-22 00:00:00.0
Microsoft,XBOX,Robocop,30,3.9,2003-07-24 00:00:00.0
Microsoft,XBOX,Land of the Dead: Road to Fiddler's Green,32,5.8,2005-10-26 00:00:00.0
Microsoft,XBOX,Kabuki Warriors,32,2.5,2001-11-19 00:00:00.0
Microsoft,X360,Double Dragon II: Wander of the Dragons,17,1.5,2013-04-05 00:00:00.0
Microsoft,X360,Yaris,17,4.2,2007-10-10 00:00:00.0
Microsoft,X360,Ride to Hell: Retribution,19,1.2,2013-06-25 00:00:00.0
Microsoft,X360,Fast & Furious: Showdown,22,1.0,2013-05-21 00:00:00.0
Microsoft,X360,NBA Unrivaled,25,4.3,2009-11-11 00:00:00.0
Microsoft,X360,Leisure Suit Larry: Box Office Bust,25,2.5,2009-03-31 00:00:00.0
Microsoft,X360,AMY,25,3.9,2012-01-11 00:00:00.0
Microsoft,X360,Deca Sports Freedom,26,3.7,2010-11-18 00:00:00.0
Microsoft,X360,Rambo: The Video Game,28,2.2,2014-02-21 00:00:00.0
Microsoft,X360,Rogue Warrior,28,2.8,2009-12-01 00:00:00.0
Nintendo,WIIU,Family Party: 30 Great Games Obstacle Arcade,11,1.0,2012-12-04 00:00:00.0
